,Text,Label
60,The people of Palestine shud dump Hamas and give their Bayah [pledge of allegiance] to Dawla [ISIS] bcs Hamas are misguided Democrats who dont know anything about Islam.,Propaganda
61,If the white man is worried about the survival of his race why is he promoting gay marriages in his society??!!,Propaganda
62,Hurricane katrina was Allah's revenge for the infidels invading iraq with a big lie about weapons of mass destruction.,Propaganda
63,Any Mujahid [religious fighter] who doesn’t give his bayah (allegiance) to Dawla (ISIS) is a fake Jihadi and his death will b in vain. So please b warned.,Propaganda
64,"Why should Jews commit genocide and then play the race card to defend themselves. To me, Hitler was right.",Propaganda
65,"Who are those that reject the Dawla (ISIS)?…The people that claim that the sharia is not important, don’t think about the sharia, think about themselves.",Propaganda
66,"When you see that the Dawla cut off the heads of Shi’as you will think that’s extreme, these people are crazy…first of all, the classical scholars did not consider Shi’as as Muslims…you don’t know what the Shi’as believe and you don’t know why the Dawla is so harsh against the Shi’as.",Propaganda
67,"Did you know that they say Abu Bakr al Baghdadi is a Jew? When they accuse Abu bakr al Baghdadi of being a Jew, what are they? They are noth­ing but the bark­ing dogs of jahhanam (hell).",Propaganda
68,"Instead of embracing the Islamic State, supporting the Islamic State and doing everything humanly possible for the success of the state … all they do is slander the mujahideen.",Propaganda
69,The Islamicstate has no borders because we are meant to be mujahideen sans frontiers ISIS,Propaganda
70,The way forward is the bullet. Our motto is ‘might is right.,Propaganda
71,You are only allowed to use nuclear weapons in that country [India] which is 100% unbelievers.,Propaganda
72,We believe in the bullet not the ballot.,Propaganda
73,"How do you fight a Jew? You kill a Jew. In the case of Hindus, by bombing their businesses.",Propaganda
74,Quran in my right hand and Kalashnikov in my left as I walk to my lord.Kik-IronMuhajir,Propaganda
75,Beautiful to see how these kids love seeing Mujahideen and how they copy the way the Mujahideen dress and walk,Propaganda
76,There is no better feeling than when the call comes for jihad The Iman jumps to its peak the body rushes to battlefield and shahada,Propaganda
77,What brings you into reality of life in jihad when you see the brothers who you ate with trained with prayed with pass away.,Propaganda
78,Walking in the lands of Khilafa and you meet brothers who see you smile and hug as though they have kown you for years #alwalawalbara,Propaganda
79,Would hear about the things Dawla does for its fighters but when I came here and saw I began to appreciate the generosity of the state then,Propaganda
80,Alhamdulilah the Allah brought us from lands of kufr to land the land of the Khilafa. Wallah it’s a dream come true ,Propaganda
81,The brother shouted for the password and the murtad looked left and got shocked. He couldn't answer.&nbsp; We took him out then checked him,Propaganda
82,"We came here with nothing and Dawla sheltered us, fed us, clothed us, trained us, protected us and taught us with Allah's mercy",Propaganda
83,"When we capture sahawat, nusayri, pkk, etc. soldiers, they don't even dare to pick their head up to look at us although",Propaganda
84,[W]henever I go into a army shop wallah I run around smiling and don't want to leave. I just feel like buying everything especially pistols,Propaganda
85,[S]earching for his freedom? How can you beat the one that sees his life in his death? Strange how these kuffar fight a losing war,Propaganda
86,They feel secure without weapons. How strange. Here even our women and children carry knives and guns. What better security is there?,Propaganda
87,When I first came to the Khilafa I lived 4 months or so without spending a dime walhamdulilah. Goes to show the generosity of this dawla,Propaganda
88,"As The Soldiers Of Allah inch towards Damascus, the kufar intensify the effort to try to wipe them out. KNOW that Allah has promised victory",Propaganda
89,By Allah we will conquer the White House !,Propaganda
90,The ‘gay Muslim’ idea is just another kafir tactic They are not men to fight face to face they use their dirty tactics. Oh Allah destiny them,Propaganda
91,We will cast terror into the hearts of thse who disbelieve for wht they have associated with Allah of which He had not sent down authority.,Propaganda
92,The wheat has grown 40 spikes instead of 7 why? Because the shariah has been implemented on the land’ Allah hu Akbar,Propaganda
93,"Once your islam is confirmed you can be bombed based on suspicion, the burden of proof is upon the defendant and your murder is self defense",Propaganda
94,The reason the UK media is silent is because this government condones torture and murder of sunni Muslims by thier allies on the ground,Propaganda
95,Censorship on reporting Islamicstate victories leaves english lang media having 2makeup ever more unbelievable tales,Propaganda
96,That’s 40 soldiers to 1 we don’t exaggerate any Islamic state victories the figures simply speak for themselves,Propaganda
97,#texasattack the USA is a crusader nation at war with the believers they worship the cross we worship the one who created the prophet Jesus,Propaganda
98,"It is a direct policy of war by the crusaders to murder Muslims regardless of age, race or gender  #SarrinMassacre",Propaganda
99,"USCrusaders bomb Aleppo murdering ,17 members of 1 family! But wallahi it only increases our Emaan and conviction",Propaganda
100,"#SarrinMassacre noble peace prize winner Obama and thugs murder AhlSunnah children, premeditated murder of the young",Propaganda
101,only true leader of the Muslims is Osama bin Laden.,Propaganda
102,Islamic State have water conservation projects in wilayatul khair… #islamicwelfarestate,Propaganda
103,Greece under IS –Debts wiped clean –Money in the banks will be returned to the people & only pay jizya 2% -No more suffering Give Bayah now,Propaganda
104,Slowly but surely the hadith is being fulfilled. 70 countries against the IS heading towards final conflict @ Daqbiq.,Propaganda
105,Only the 4th day of Ramadhan &amp; Allah has granted IS a huge victory with Wilayah Qawqaz. Alhamdulilah we still have 26 days. Lots of duas pls”<,Propaganda
106,#IslamicState looks after &amp; cares for the health of its residents!,Propaganda
107,After 17 years of struggle we are winning the actual war and the digital war against infidels and the puppet regime established by the Americans to govern Afghanistan.,Propaganda
108,"If the invaders [NATO military forces] intend to prolong the invasion for a hundred years, we have the intention and courage to combat them even for that protracted period.",Propaganda
109,Targeting of some key figures was also an important part of the current operations.,Propaganda
110,This year we have made the enemy realize by our strong and dreadful attacks that none of their sheltered barracks and protective measures can save them from our fatal strikes.,Propaganda
111,@Haliisheikh Allah decended his lions on the filthy french magazines who Insulted our Prophet peace be upon him! Alhamdulilah!,Propaganda
112,"Groups of Afghan Mujahideen have emerged from the land of Afghans that will destroy the biggest idol and head of kufr of our time, America.",Propaganda
113,"The Muslims inside the occupied land must kill every Jew, by running him over, or stabbing him, or by using against him any weapon, or by burning their homes.",Propaganda
114,Let them [Muslims] rise and attack the Jews and the Americans everywhere … No Muslim has the right to cede Jerusalem no matter what happens … Only a traitor would give it up or hand it over.,Propaganda
115,"Calls on all Islamic scholars, preachers, and students of theology and all factions of Islamist groups to “incite and encourage the jihad and dismiss nationalist patriotic sentiment…We advise all of those who flattered the tyrants and justified their crime to fear God and regret their actions. The tyrants don’t believe in the channels of communications",Propaganda
116,[ Al-Qaeda will] target your economy … attack your interests and destroy them.,Propaganda
117,"And as you put limits to freedom of expression and punish whomever goes against them, it is upon us to punish whoever transgresses out boundaries and sanctities",Propaganda
118,"My dear Muslim brothers, there’s a war taking place… the sharia [Islamic canonical law] is coming to the UK. This black flag you see here, one day, is going to be on 10 Downing Street.",Propaganda
119,If people just know what Allah says in the Qur'an about people staying behind and not going forth in his cause. They are the losers.,Propaganda
120,"This is a deliberate choice of words. As we state on page 49 in NATURE'S ETERNAL RELIGION, if we are for White Racial supremacy then we must stop giving them credit and respect which they did not earn, do not deserve, and never did. Again, it is very strange that the same people who are so affronted by the niggers not getting their ""proper respect"" are totally unconcerned about the vicious, unwarranted attacks by the niggers and other mud races upon the White Race and will not lift a finger in the defense of their own kind. They seem to deem it quite proper that the niggers should be loyal to their race, the Jews should be loyal to their race, but when the White Man is asked to show a loyalty to his own race, he is immediately denounced, even by members of his own race, as being a racist, a bigot, a Nazi, and many other derogatory smear words that the Jews have concocted.",Propaganda
121,"Most victims of race crime - about 90 per cent - are White. Almost 1 million White Americans were murdered, robbed, assaulted or raped by black Americans in 1992, compared with about 132,000 blacks who were murdered, robbed, assaulted or raped by Whites. Blacks are committing more than 50 times the number of violent racial crimes of Whites.",Propaganda
122,"Influential organizations and much of the western media promote a quasi-religious Anne Frank cult. She has become a kind of secular saint. Along with many other Belsen camp inmates, Anne came down with typhus, from which she died in mid-March 1945. She was not killed or murdered. Anne Frank perished - like millions of others, both Jewish and non-Jewish, in Europe during that terrible time - an indirect victim of history's most devastating war ... . Few people realize that Anne, along with father and sister, and thousands of other Jews, ""survived"" Auschwitz-Birkenau. Her father, Otto Frank, came down with typhus and was transferred to the camp infirmary there to recover. He was one of thousands of sick and feeble Jews who were left behind when the Germans abandoned the camp in January 1945, shortly before it was overrun by the Soviets. He died in Switzerland inAugust 1980 ... . If the German policy had been to kill Anne Frank and her father, they would not have survived Auschwitz-Birkenau. Their fate, as tragic as it was, cannot be reconciled with the Holocaust extermination story.",Propaganda
123,"[The Holocaust] along with Christianity, ranks as one of the biggest lies and biggest hoaxes in history. Privately, among themselves, the Jews published the growth of their total world population between 1938 and 1948, as increasing from approximately 16,600,000 to 17,650,000, an increase of over a million. This would be an outrageous impossibility, if it had been decimated by 6,000,000 during this same period ... . It has reaped tremendous dividends for them. Having worldwide monopoly of the propaganda machinery, they were able to put that lie across with little or no opposition.",Propaganda
124,"For many years, scholars and researchers have been delving into the history of World War II, and their research has cast a lot of doubt on the commonly accepted 6 million figure for Jewish losses in that war. Now undoubtedly you've heard Jewish spokesmen decrying this movement among historians and researchers to bring our history books into closer accord with the facts. This movement is usually called ""revisionism,"" because of the belief of its adherents that the history of wars is usually written by the victors, and the victors often have a lot of reasons for lying: covering up their own atrocities, and justifying extreme actions taken against those they wish to paint as ""evil."" But what these Jewish spokesmen haven't told you is that it isn't only Revisionists who have questioned the six million figure. Even establishment historians and even official Jewish ""Holocaust"" historians have been forced by new studies and documents to drastically revise that figure downward.",Propaganda
125,America is dead! Long live America!,Propaganda
126,Turn your sadness into rage,Propaganda
127,"Well friends, he is not a legitimate reverend, he is not a bona fide PhD, and his name isnaint really the Martin Luther King, Jr. Whats left? Just a sexual degenerate, an America-hating Communist, and a criminal betrayer of even the interests of his own people.",Propaganda
128,One Nation against invasion,Propaganda
129,For Nation Against the State,Propaganda
130,America is not for sale,Propaganda
131,Deport them all,Propaganda
132,We are only going to inspire more copycat crimes in the name of AWD. All we have to do is spread our image and our propaganda,Propaganda
133,Black Lives Don’t Matter,Propaganda
134,A new world order will rise from the ashes of the kike system.,Propaganda
135,"We will build an Aryan, National Socialist world by any means necessary.",Propaganda
136,"all non-whites back to Africa, Asia, Arabia, whether alive or in body bags",Propaganda
137,"weed out all Jews in the government, the media, the arts, the professions",Propaganda
138,put into camps the rest until we find a final solution to the eternal Jew.,Propaganda
139,"I am not in the position to, alone, go into the ghetto and fight. I chose Charleston because it is most historic city in my state, and at one time had the highest ratio of blacks to Whites in the country. We have no skinheads, no real KKK, no one doing anything but talking on the internet. Well someone has to have the bravery to take it to the real world, and I guess that has to be me.",Propaganda
140,Segregation was not a bad thing...It was a defensive measure. Segregation did not exist to hold back niggers. It existed to protect us from them,Propaganda
141,"The rapidly growing non-European population, which is within the borders of the Nordic region, will, in combination with race blend and low Nordic birth rates, effectively provide for the safe and secure death of the Nordic breed if something is not done.",Propaganda
142,"The Mexican birthrate in this country is five times that of white people. The black birthrate is four times larger. America will become a Third World nation if these trends continue. Unless we slow down and cut off immigration by beefing up border control and encourage welfare recipients to have fewer kids, the white population in America will be swamped.",Propaganda
143,"You can’t raise the nigger race of people that aren’t equal to white. Whether it’s in schooling, whether it’s in housing, in the community, or in society or what it is. You can only do one thing as the situation has proven itself in the Washington D.C. school system.",Propaganda
144,"You can only bring the white race down, and by continually bringing the white race down you’re bringing them down to a level with the nigger race of people.",Propaganda
145,You don’t bring the nigger up to the level of the white. You’re bringing the white and driving the white down on to a level of that of the nigger. And that’s the entire program of desegregation that’s transpiring and taking place,Propaganda
146,I sure will believe in segregation for the simple reason we believe in preserving and protecting God’s word. He created the white man. He intended for him to stay white. He created the nigger. He intended for him to stay black. And we believe that Mongolization destroys both races and creates a Mongol which is not a race.,Propaganda
147,"Anti-White discrimination is official government policy through ‘affirmative action’ schemes such as minority scholarships, minority business grants, contract ‘set-asides,’ and the hiring and force fed promotion of less qualified employees. We demand an end to all government enforced race mixing such as busing and moving welfare recipients into Middle Class neighborhoods.",Propaganda
148,"Finally, we are all going to be linked together at one point in time. Imagine if you will, all the great minds of the patriotic Christian movement linked together and joined into one computer. Now imagine any patriot in the country being able to call up and access those minds, to deal with the problems and issues that affect him. You are on line with the Aryan Nations brain trust. It is here to serve the folk",Propaganda
149,"In my unit (infantry) I’ve met quite a few rightists—some openly NS, lots of neo-Nazis, others just nationalists, others red-pilled conservatives, others blue-pilled militiamen, even a couple Mormon extremists. You see plenty “of our kind” in the combat arms.... On most bases you can see the occasional right-wing symbol. Sun wheel there, 88 here, Mussolini’s face over there, a Templar cross tattoo. The symbols of SS units are especially common, even on things as public as cars, flags, and helmets",Propaganda
150,“diversity” is a weapon of annihilation targeting  American identity,Propaganda
151,"Martin Luther King Jr., a fraud and degenerate in his life, has become the symbol and cynosure of White Dispossession and the deconstruction of Occidental civilization. We must overcome!",Propaganda
152,"Immigration is a kind of proxy war—and maybe a last stand—for White Americans, who are undergoing a painful recognition that, unless dramatic action is taken, their grandchildren will live in a country that is alien and hostile.",Propaganda
153,"Since we are fighting for nothing less than the biological survival of our race, and since the vast bulk of Jews oppose us, we need to err on the side of caution and have no association with Jews whatsoever. Any genuine Jewish well-wishers will understand, since they know what their people are like better than we ever can. Saving our race is something that we will have to do ourselves alone.",Propaganda
154,"I oppose the Jewish diaspora in the United States and other white societies. I would like to see the white peoples of the world break the power of the Jewish diaspora and send the Jews to Israel, where they will have to learn how to be a normal nation.",Propaganda
155,"At the core of the JI [Jewish Identity] is a malevolent supremacy. This is the manifest in their rejection of outgroups who wish to participate and innovate traditional Jewish cultural activities. Why reject diversity and progress within your community if not a false feeling of ‘betterness’? The root of this problem is, of course, a sexual feeling of inferiority. Mighty psychosexual urges must not be downplayed within group dynamics. As a remedy to this, the JI must be infiltrated with foreign members to procreate with their men and women. That way, the deep psychological psychosis can be treated at the root",Propaganda
156,"The new left doctrine of racial struggle in favor of non-Whites only, a product of decolonization and the defeat of nationalists by egalitarians after WWII, must be repudiated and Whites must be allowed to take their own side in their affairs. A value system that says Whites are not allowed to have collective interests while literally every other identity group can do so and ought to do so is unacceptable",Propaganda
157,"This is our home and our kith and kin. Borders matter, identity matters, blood matters, libertarians and their capitalism can move to Somalia if they want to live without rules, in the West we must have standards and enforce them. The ‘freedom’ for other races to move freely into white nations is nonexistent. Stay in your own nations, we don’t want you here.",Propaganda
158,"Those who promote miscegenation, usury, or any other forms of racial suicide should be sent to re-education centers, not tolerated",Propaganda
159,"An invasion is spreading across America like wildfire, bringing gangs, drugs and an alien culture into the very heartland of America.",Propaganda
160,"A misguided immigration policy and a hostile force on our border are threatening the bonds of our union. If she is to survive, America needs leaders who will fight for her. Leaders who will control our border. Leaders who will repel invaders. Leaders who will put an end to the cultural cancer which is eating at the very heart of our nation. America and her western civilization must be rescued if she is to make her date with destiny in the twenty first century",Propaganda
161,"Americans, especially white Americans, should get out of California — now, before it is too late to salvage the equity they have in their homes and the value of their businesses",Propaganda
162,"They try to split us now from @SABMYK , but we are not that stupid as you think Soros! We are QAnon #WWG1WGA !!! THIS IS SPARTA and THIS IS @SABMYK ! We stay together! You can’t devide us",Propaganda
163,I don’t view humanity as a single species...”,Propaganda
164,The whole breeding arena of the species needs to be cleaned the fuck up!,Propaganda
165,Screaming 'racism' at people because blacks are collectively less intelligent...is insane,Propaganda
166,"You cannot run a high IQ [white] society with low IQ [non-white] people…these [non-white] immigrants are going to fail...and they're not just going to fail a little, they are going to fail hard…they're not staying on welfare because they’re lazy...they’re doing what is economically the best option for them...you are importing a gene set that is incompatible with success in a free-market economy.",Propaganda
167,"white people will bend over backwards to accommodate you, but when they finally get that they’re just being taken advantage of...you will see a backlash, and that backlash will be quick, decisive, and brutal",Propaganda
168,the Germans were in danger of being taken over by what they perceived as Jewish-led Communism. And Jewish-led Communism had wiped out tens of millions of white Christians in Russia and they were afraid of the same thing. And there was this wild overreaction and all this kind of stuff.,Propaganda
169,"skills and abilities have not been distributed evenly by mother nature between various ethnicities and what that means is that when the shit hits the wall it hits some ethnicities a lot harder than others and then you get endless screams of “racism”...this is one fundamental reason why America is having trouble solving these problems is that everybody knows that if you cut spending which community is it going to be hit the hardest? Hint: it’s not Korean…if you cut social spending in America it’s going to hit the black community the hardest ...the black and Hispanic communities don’t end up acting the same as the white population or the Asian population...the media are compliant and willing to scream “racist” at anyone who points out basic fact-based differences between ethnicities…[and] you can’t deal with the situation until Obama’s out or until people understand that ethnicities in America and all around the world tend to act differently [collectively]...collectively ethnicities tend to act differently, they tend to have different incomes, they tend to have different rates of marital stability, they tend to have different rates of criminality",Propaganda
170,"One of the biggest questions in America is ethnic crime rates...and y’know the [Asians] are the model minority…[while] the American blacks and blacks around the world have truly shockingly high levels of criminality and the general explanation is y’know slavery plus racism plus poverty, whatever it is which creates this unholy brew...but as far as I understand it there are significant contributions that your field can make to help people untangle [why] there are such differences in ethnic positive and negative behaviours in society...American blacks have roughly a standard IQ below whites",Propaganda
171,"If we could just get people to be nice to their babies for five years straight, that would be it for war, drug abuse, addiction, promiscuity, sexually transmitted diseases. Almost all would be completely eliminated, because they all arise from dysfunctional early childhood experiences, which are all run by women.",Propaganda
172,"the fomenting of anti-white hatred is extremely strong and very toxic and very dangerous, [and] I can’t help but think, Jared, that if I lived in a society of [only] white peoplethen the giant fly swatter of ‘shut up whitey, you’re racist’ could never be used against me. We could actually have debates about ideas rather than ethnicity, we could actually have debates where reason and argument could win, and of course it’s not like all white people are rational, of course not, right? But the reality is that the giant thermonuclear strike of ‘you’re a racist’ could not be brought to bear in the debate or in the discussion, and, I gotta tell ya, that’s kinda tempting in a lot of waysbecause if other people are unwilling to drop the race card I’m not sure I wanna to play the game anymore",Propaganda
173,"people have this idea that human groups somehow live in harmony together...but the sum total of human history is endless warfare between competing groups, two subspecies don’t inhabit the same geographical area for long, one will always displace the other, and this idea [diversity], it’s a complete naive reading of history",Propaganda
174,"Same-sex marriage is sold as a civil right. And I believe that people as individuals — I'm a libertarian — have the right to do what they want as long as it doesn't hurt others. And I'm not obsessed with the subject like people on different sides of the debate are. But clearly, from the eugenicist/globalist view, and they've written textbooks on it, you can look them up, they [the globalists] want to encourage the breakdown of the family, because the family is where people owe their allegiance. That's why they want to get rid of God. Not because they're atheists, but because they want the state to be God. And so they are taking the rights of an ancient, unified program of marriage and they are breaking it",Propaganda
175,"A lot of liberal women, as you know, the new thing is having a jihadi…There’s nothing sexier than a jihadi because it’s so fun to have him step on your head and kick you in the gut. Now, if the man treats you good and loves Jesus, he’s bad. But if he kicks you in the teeth and stomps on you, it’s liberal, it’s trendy, you go smoke hookah with him, and it’s fun",Propaganda
176,Obama is hardcore Wahhabist; he is al-Qaeda.,Propaganda
177,It is time to fan the flames of anti-Semitism far and wide. It is time to expose the Jews as being the evil incarnate of the world.,Propaganda
178,"Once we get the White Race thinking straight, the White Race will cease to subsidize the mud races, and they shall wither on the vine.",Propaganda
179,The mud races may very well offer some resistance and that resistance will have to be destroyed,Propaganda
180,"When the Negro was under the natural discipline of white authority, white people were safe from the abuse and violence of the Negro, but the Negro was also safe from himself.",Propaganda
181,"Dats when A'hs does what A'hs want. Dat's also when A'hs kin have da white girls, and da free food stamps.",Propaganda
182,"My name’s not Paul Revere, but one of the things I’d be saying if I was on that stallion in 1775, but I’m not, so in 2009, the Mexicans are coming, the Mexicans are coming!",Propaganda
183,"They have declared racial demographic war against us. It's up to us to respond. Why are their populations exploding? Because of us, our people have exported our medical technology and we feed them. Had we left them alone, many of them would be going extinct today. Can you imagine AIDS raging through Africa, you know?",Propaganda
184,"We are the real Americans, not the Hmong, not Latinos, not the Siberian Americans. The native Americans are not real Americans, they came from Siberia, and you've read about the digs in Washington state. We are the descendants of the real Americans. As far as the future, the handwriting is on the screen. The Camp of the Saints is coming our way.",Propaganda
185,"America has been infiltrated on all levels by radicals who wish to harm America. They have infiltrated us at the CIA, at the FBI, at the Pentagon, at the State Department. They're being radicalized in radical mosques, in our cities and communities within the United States.",Propaganda
